-3.9355	2.3883e-26	2.5913e-07
-1.8374	1.4191e-27	3.1357e-07
-3.7014	9.8139e-28	4.7750e-07
-4.6808	7.1886e-18	3.2519e-07
-5.1265	1.2246e-19	2.2409e-07
-3.3712	6.5396e-18	2.9890e-07
-3.3845	5.0505e-27	1.7492e-07
-3.6587	7.1289e-23	9.3975e-08
-3.9806	7.5104e-28	3.4690e-07
-1.9902	1.6365e-28	4.4247e-07
-4.5956	3.3012e-21	1.3842e-07
-5.5708	1.0226e-20	4.7964e-07
-2.4485	3.1592e-30	3.3487e-07
-2.2085	6.4556e-27	2.9212e-07
-6.1896	1.4155e-24	3.6486e-07
-2.0598	9.7835e-19	2.0433e-07
-5.4197	3.8616e-19	2.7219e-07
-4.8574	3.4858e-20	2.4630e-07
-3.7431	1.2489e-24	4.4655e-07
-4.6178	1.1399e-30	4.2812e-07
-4.6516	3.0191e-29	4.7551e-07
-4.4190	4.2126e-20	3.7427e-07
-3.9281	3.1871e-24	4.3729e-07
-3.3992	9.0296e-29	2.9162e-07
-3.7948	2.2272e-21	2.1766e-07
-1.9744	5.6404e-17	1.8049e-07
